file,variable,type,unit_or_format,description,allowed_values_or_range,source,release_transform,privacy_classification
light_1min.csv,participant_id,string,opaque ID,Release-specific participant identifier,"ADID-[opaque token]",device-to-record linkage,"Generate from confidential crosswalk; remove source device and REDCap IDs",pseudonymous
light_1min.csv,timestamp_recorded_local,datetime,ISO 8601 with offset,Local timestamp represented by the source logger before project-specific correction,Valid source range,logger export,Retain separately from corrected time,indirect identifier
light_1min.csv,timestamp_corrected_local,datetime,ISO 8601 with offset,One-minute local timestamp used after documented harmonisation,Valid study range,processing pipeline,Retain separately from recorded timestamp,indirect identifier
light_1min.csv,timestamp_utc,datetime,ISO 8601 UTC,Corrected one-minute timestamp expressed in UTC,2025-09-21T10:00Z to 2025-09-23T12:00Z,corrected local timestamp,Derive with documented IANA time zone,indirect identifier
light_1min.csv,timestamp_corrected_flag,boolean,TRUE/FALSE,Whether a project-specific timestamp correction was applied,TRUE or FALSE,processing provenance,Derive; never overwrite source timestamp,low
light_1min.csv,timestamp_correction_seconds,integer,seconds,Signed author-approved correction applied to the recorded timestamp,0 for uncorrected streams; -115200 for the corrected Malaysian stream,processing provenance,Apply the author-approved rule from correction_log.csv; retain the recorded timestamp separately,low
light_1min.csv,timestamp_correction_reason,string,controlled text,Author-approved reason for any timestamp correction,none or approved controlled wording,processing provenance,Use controlled wording from correction_log.csv; never infer silently,low
light_1min.csv,device_family,string,controlled category,Logger family,"ActLumus; ActTrust",logger header,Retain family; use the serial internally for source linkage and exclude it from every public table,quasi-identifier
light_1min.csv,aggregation_interval_seconds,integer,seconds,Nominal public aggregation interval,60,processing pipeline,Set to 60 after floor-aligned one-minute aggregation,low
light_1min.csv,source_dominant_epoch_seconds,integer,seconds,Dominant positive interval in the source stream,"10 or 60",logger export,Retain to document whether a public minute contains nominally six or one source observations,low
light_1min.csv,source_observations,integer,observations,Number of source observations contributing to the one-minute value,0 to 6,logger export,Count before aggregation; zero denotes an explicit gap,low
light_1min.csv,photopic_illuminance_lux,number,lux,Mean one-minute photopic illuminance,Non-negative or missing,source LIGHT channel,Average available source observations within each floor-aligned minute; retain LIGHT semantics for both logger families,low
light_1min.csv,melanopic_edi_lux,number,lux,Mean one-minute melanopic equivalent daylight illuminance,Non-negative or missing,source MELANOPIC EDI channel,Average available source observations for ActLumus; set missing for ActTrust,low
light_1min.csv,explicit_gap_flag,boolean,TRUE/FALSE,Whether no source observation contributed to the expected one-minute row,TRUE or FALSE,complete target grid,Insert the row with missing measurements; never replace a gap with zero,low
light_1min.csv,duplicate_key_flag,boolean,TRUE/FALSE,Whether the participant-time key was duplicated before adjudication,TRUE or FALSE,validation audit,All released primary keys must be unique,low
events.csv,participant_id,string,opaque ID,Release-specific participant identifier,"ADID-[opaque token]",device-to-record linkage,Use the same private mapping and opaque identifier as light_1min.csv; do not publish the device serial or crosswalk,pseudonymous
events.csv,event_start_local,datetime,ISO 8601 with offset,Start of the structured contextual state in local time,Valid study range,REDCap/MyCap activity log,Remove app payload and retain structured timestamp,indirect identifier
events.csv,event_start_utc,datetime,ISO 8601 UTC,Start of the structured contextual state in UTC,Valid study range,event_start_local,Derive using documented time zone,indirect identifier
events.csv,event_end_utc,datetime,ISO 8601 UTC,End of the state defined by the next valid event,At or after event_start_utc,ordered event states,Derive within participant; document terminal-state rule,indirect identifier
events.csv,event_duration_seconds,number,seconds,Elapsed time until the next state,Non-negative or missing,ordered event states,Derive; terminal-state duration may be missing,low
events.csv,wear_state,string,controlled category,Whether the logger was worn,"Wear; Non-wear; Bedtime",activity log,Retain structured category,low
events.csv,social_context,string,controlled category,Whether the contributor was alone or with others,Values defined by survey instrument,activity log,Retain structured category,quasi-identifier
events.csv,wear_activity,string,controlled category,Activity while the logger was worn,Values defined by survey instrument,activity log,Retain only when wear_state is Wear,quasi-identifier
events.csv,nonwear_storage,string,controlled category,Logger position during non-wear,Values defined by survey instrument,activity log,Retain only when wear_state is Non-wear,low
events.csv,nighttime_position,string,controlled category,Logger orientation/location during sleep,Values defined by survey instrument,activity log,Retain only when wear_state is Bedtime,low
events.csv,setting,string,controlled category,Broad environmental setting,"Indoors; Outdoors; Mixed; Bed; Non-wear",activity log,Retain structured category,low
events.csv,setting_location,string,controlled category,General type of indoor/outdoor setting,Values defined by survey instrument,activity log,Retain structured category,quasi-identifier
events.csv,setting_specific,string,controlled category,More specific indoor setting,Values defined by survey instrument,activity log,Review small-cell risk before inclusion,quasi-identifier
events.csv,daylight_condition,string,controlled category,Reported daylight condition,"Direct sunlight; Shade/cloudy; Near a window; Away from window",activity log,Retain structured category,low
events.csv,electric_light_condition,string,controlled category,Reported electric-light condition,"Lights on; Dim light; Lights off",activity log,Retain structured category,low
events.csv,screen_phone,boolean,TRUE/FALSE,Reported smartphone use,TRUE or FALSE,activity log,Retain structured category,low
events.csv,screen_tablet,boolean,TRUE/FALSE,Reported tablet use,TRUE or FALSE,activity log,Retain structured category,low
events.csv,screen_computer,boolean,TRUE/FALSE,Reported computer use,TRUE or FALSE,activity log,Retain structured category,low
events.csv,screen_television,boolean,TRUE/FALSE,Reported television use,TRUE or FALSE,activity log,Retain structured category,low
events.csv,lighting_autonomy,string,controlled category,Reported degree of control over lighting,"Yes; Partly; No; Not applicable",activity log,Retain structured category,low
events.csv,notes,excluded,not released,Open-ended comment,Not applicable,activity log,Remove entirely,critical
events.csv,exact_location,excluded,not released,City and coordinates,Not applicable,post-participation survey,Remove entirely,critical
events.csv,travel_identifier,excluded,not released,Flight number and detailed travel identifiers,Not applicable,travel instrument,Remove from the event table; publish only the approved opaque dated-flight ID in travel_segments.csv,critical
participant_metadata.csv,participant_id,string,opaque ID,Release-specific participant identifier,"ADID-[opaque token]",confidential device-to-release mapping,Use the same HMAC-derived identifier as the light and event tables,pseudonymous
participant_metadata.csv,device_family,string,controlled category,Logger family,"ActLumus; ActTrust",logger header,Retain family and remove serial number,quasi-identifier
participant_metadata.csv,light_rows,integer,rows,Number of expected one-minute rows for the release participant,3000,light_1min.csv,Count after complete-grid construction,low
participant_metadata.csv,source_dominant_epoch_seconds,integer,seconds,Dominant positive interval in the source logger stream,"10 or 60",light_1min.csv,Carry one validated value per participant,low
participant_metadata.csv,explicit_gap_rows,integer,rows,Expected one-minute rows with no contributing source observation,0 to light_rows,light_1min.csv,Count explicit gaps without treating them as darkness,low
participant_metadata.csv,photopic_nonmissing_rows,integer,rows,Rows with non-missing photopic illuminance,0 to light_rows,light_1min.csv,Aggregate after semantic repair,low
participant_metadata.csv,melanopic_edi_nonmissing_rows,integer,rows,Rows with non-missing melanopic EDI,0 to light_rows,light_1min.csv,Aggregate after semantic repair; zero is expected for ActTrust,low
participant_metadata.csv,event_rows,integer,rows,Number of coded event-state rows for the release participant,Non-negative,events.csv,Aggregate after chronological ordering,low
participant_metadata.csv,travel_rows,integer,rows,Number of travel-segment rows for the release participant,0 or greater,travel_segments.csv,Count after approved travel transformation,low
participant_metadata.csv,country,string,controlled text,Cleaned participant country,Approved country names,cleaned participant metadata,Retain cleaned country; exclude source city/country free text,quasi-identifier
participant_metadata.csv,age_years,integer,years,Exact age in completed years,22 to 70 in the audited included set,cleaned participant metadata,"Retained as the exact integer by author decision; exact-archive review documents 30 distinct ages and 22 singleton exact-age participants",critical
participant_metadata.csv,sex_at_birth,string,controlled category,Sex assigned at birth,"Female; Male",cleaned participant metadata,"Retain the controlled source category after the author decision; audited counts are Female 30 and Male 17",quasi-identifier
participant_metadata.csv,city,excluded,not released,Cleaned participant city,Not applicable,cleaned participant metadata,Remove entirely,high
participant_metadata.csv,latitude_round1,number,decimal degrees,Latitude rounded to one decimal place,-90 to 90,cleaned participant metadata,Round to one decimal and discard the exact coordinate from the public table; 33 of 47 coordinate pairs remain singleton cells,critical
participant_metadata.csv,longitude_round1,number,decimal degrees,Longitude rounded to one decimal place,-180 to 180,cleaned participant metadata,Round to one decimal and discard the exact coordinate from the public table; 33 of 47 coordinate pairs remain singleton cells,critical
travel_segments.csv,participant_id,string,opaque ID,Release-specific participant identifier,"ADID-[opaque token]",device-to-record linkage,Use the same opaque identifier as all other public tables; never publish the device serial or crosswalk,pseudonymous
travel_segments.csv,flight_id,string,opaque dated-flight ID,Release-specific identifier for a reported dated flight,"FLT-[opaque token]",detailed time-zone-change instrument,Generate using a domain-separated HMAC of normalised source flight number and local departure date; same dated flight maps to the same ID; omit number and mapping,pseudonymous
travel_segments.csv,travel_start_local,datetime,ISO 8601 with offset,Reported local start of the time-zone travel segment,Valid study range,detailed time-zone-change instrument,Interpret the minute-resolution clock time in tz_identifier_start; exact time retained following exact-archive review,critical
travel_segments.csv,travel_start_utc,datetime,ISO 8601 UTC,Reported travel start converted to UTC,Valid study range,detailed time-zone-change instrument,Derive from travel_start_local and tz_identifier_start for linkage to light_1min.csv,critical
travel_segments.csv,travel_end_local,datetime,ISO 8601 with offset,Reported local end of the time-zone travel segment,Valid study range,detailed time-zone-change instrument,Interpret the minute-resolution clock time in tz_identifier_end; do not apply the unexplained legacy minus-one-hour adjustment,critical
